Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
TCL,32 inch,HD Ready,LED,Android,4.1,24978,2097,8990.0,20990.0,57.0
Coocaa,43 inch,Full HD,LED,Coolita,4.2,23348,2744,11499.0,29999.0,61.0
iFFALCON,32 inch,HD Ready,LED,Android,4.2,68411,7625,8999.0,19990.0,54.0
Infinix,32 inch,HD Ready,LED,Linux,4.2,49455,5180,8499.0,16999.0,50.0
iFFALCON,43 inch,Ultra HD (4K),LED,Google TV,4.2,68411,7625,19999.0,50990.0,60.0
Acer,40 inch,Full HD,LED,Google TV,4.2,27029,2917,16499.0,37999.0,56.0
iFFALCON,55 inch,Ultra HD (4K),LED,Google TV,4.2,68411,7625,26999.0,73990.0,63.0
Acer,32 inch,HD Ready,LED,Google TV,4.2,27029,2917,10499.0,22999.0,54.0
MOTOROLA,43 inch,Ultra HD (4K),QLED,Google TV,4.2,4296,374,21299.0,51999.0,59.0
Mi,32 inch,HD Ready,LED,Google TV,4.3,171724,13288,13990.0,24999.0,44.0
Acer,32 inch,HD Ready,QLED,Google TV,4.0,4415,429,12999.0,24999.0,48.0
REDMI,32 inch,HD Ready,LED,FireTv OS 7,4.2,9933,627,12999.0,24999.0,48.0
Thomson,32 inch,HD Ready,LED,Linux,4.4,42232,5726,8499.0,14999.0,43.0
Mi,55 inch,Ultra HD (4K),LED,Google TV,4.3,123713,11311,31999.0,54999.0,41.0
TCL,32 inch,Full HD,LED,Google TV,4.1,24978,2097,12990.0,23990.0,45.0
LG,32 inch,HD Ready,LED,WebOS,4.3,22809,1504,14990.0,19990.0,25.0
Thomson,24 inch,HD Ready,LED,Linux,4.4,42232,5726,6499.0,9999.0,35.0
SAMSUNG,32 inch,HD Ready,LED,Tizen,4.3,150675,11117,15240.0,18900.0,19.0
TCL,55 inch,Ultra HD (4K),LED,Google TV,4.1,24978,2097,31990.0,77990.0,58.0
SAMSUNG,32 inch,HD Ready,LED,Unknown,4.1,60,2,10990.0,15900.0,30.0
MOTOROLA,65 inch,Ultra HD (4K),QLED,Google TV,4.3,10401,1049,41999.0,140580.0,70.0
Acer,43 inch,Ultra HD (4K),QLED,Google TV,4.1,1705,194,25999.0,50999.0,49.0
TCL,32 inch,Full HD,LED,Android,4.1,24978,2097,10490.0,21990.0,52.0
Coocaa,32 inch,HD Ready,LED,Coolita,4.2,23348,2744,7499.0,19990.0,62.0
Foxsky,32 inch,HD Ready,LED,Unknown,4.0,2644,317,6799.0,19990.0,65.0
Foxsky,32 inch,HD Ready,LED,Android,4.0,4169,793,7699.0,22499.0,65.0
SAMSUNG,43 inch,Full HD,LED,Tizen,4.3,150675,11117,24990.0,37900.0,34.0
MOTOROLA,55 inch,Ultra HD (4K),QLED,Google TV,4.3,10401,1049,30999.0,119980.0,74.0
LG,32 inch,HD Ready,LED,WebOS,4.3,22809,1504,13990.0,24990.0,44.0
TCL,55 inch,Ultra HD (4K),QLED,Google TV,4.1,5685,636,36990.0,120990.0,69.0
SAMSUNG,43 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,31990.0,46900.0,31.0
Acer,50 inch,Ultra HD (4K),LED,Google TV,4.2,27029,2917,26999.0,62999.0,57.0
Mi,43 inch,Full HD,LED,Google TV,4.3,171724,13288,23990.0,35999.0,33.0
Acer,43 inch,Ultra HD (4K),LED,Google TV,4.2,27029,2917,20999.0,46999.0,55.0
KODAK,32 inch,HD Ready,LED,Linux,4.2,6374,678,8499.0,14999.0,43.0
Acer,32 inch,HD Ready,LED,Google TV,4.1,277,15,10999.0,21999.0,50.0
TCL,43 inch,Ultra HD (4K),LED,Google TV,4.1,24978,2097,20990.0,52990.0,60.0
TCL,43 inch,Ultra HD (4K),QLED,Google TV,4.1,5685,636,26990.0,60990.0,55.0
Infinix,32 inch,HD Ready,LED,Google TV,4.1,810,89,9999.0,16999.0,41.0
MOTOROLA,32 inch,HD Ready,QLED,Google TV,4.2,4296,374,11999.0,20999.0,42.0
REDMI,43 inch,Ultra HD (4K),LED,FireTv OS 7,4.2,9933,627,21999.0,42999.0,48.0
realme,55 inch,Ultra HD (4K),QLED,Google TV,4.3,2404,269,31999.0,66999.0,52.0
Foxsky,24 inch,HD Ready,LED,Unknown,4.0,2644,317,5299.0,12999.0,59.0
Vu,43 inch,Ultra HD (4K),LED,Google TV,4.4,16847,2883,23999.0,40000.0,40.0
realme,43 inch,Ultra HD (4K),LED,Google TV,4.3,1654,148,20999.0,41999.0,50.0
Thomson,43 inch,Ultra HD (4K),QLED,Google TV,4.4,23903,4283,21499.0,31999.0,32.0
Mi,43 inch,Ultra HD (4K),LED,Google TV,4.3,123713,11311,27999.0,42999.0,34.0
Thomson,32 inch,HD Ready,LED,Android,4.3,121233,21447,10499.0,17999.0,41.0
MOTOROLA,32 inch,HD Ready,LED,Google TV,4.2,8135,790,10999.0,20000.0,45.0
SONY,55 inch,Ultra HD (4K),LED,Google TV,4.6,7668,934,57990.0,99900.0,41.0
Foxsky,40 inch,Full HD,LED,Android,4.0,4169,793,11999.0,38499.0,68.0
TCL,55 inch,Ultra HD (4K),QLED,Google TV,4.1,3014,271,32990.0,79990.0,58.0
Thomson,32 inch,HD Ready,QLED,Android,4.4,23903,4283,11999.0,19999.0,40.0
KODAK,55 inch,Ultra HD (4K),QLED,Google TV,4.5,4415,901,31499.0,59999.0,47.0
Vu,55 inch,Ultra HD (4K),LED,Google TV,4.4,16847,2883,33999.0,65000.0,47.0
Mi,50 inch,Ultra HD (4K),LED,Google TV,4.3,123713,11311,29999.0,44999.0,33.0
KODAK,24 inch,HD Ready,LED,Linux,4.2,6374,678,6499.0,9999.0,35.0
SENS,43 inch,Full HD,LED,Google TV,4.2,4207,598,16999.0,39990.0,57.0
TOSHIBA,32 inch,HD Ready,LED,Android,4.2,6743,920,12999.0,24990.0,47.0
Foxsky,43 inch,Full HD,LED,Android,4.0,4169,793,13499.0,41499.0,67.0
Acer,55 inch,Ultra HD (4K),LED,Google TV,4.2,27029,2917,32999.0,72999.0,54.0
Dyanora,24 inch,HD Ready,LED,Unknown,4.0,7168,720,5499.0,10999.0,50.0
SAMSUNG,43 inch,Ultra HD (4K),LED,Tizen,4.3,15222,1096,30990.0,44900.0,30.0
Infinix,32 inch,HD Ready,QLED,WebOS,4.1,2484,305,10999.0,18999.0,42.0
Sansui,32 inch,HD Ready,LED,Google TV,4.2,2482,228,11990.0,21490.0,44.0
InnoQ,43 inch,Full HD,LED,Android,3.9,4206,483,13990.0,39990.0,65.0
LG,43 inch,Ultra HD (4K),LED,WebOS,4.4,3578,279,31990.0,47990.0,33.0
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,46990.0,66900.0,29.0
LG,43 inch,Ultra HD (4K),LED,WebOS,4.4,34621,3285,30990.0,49990.0,38.0
KODAK,43 inch,Ultra HD (4K),QLED,Google TV,4.5,4415,901,21999.0,31999.0,31.0
SONY,32 inch,HD Ready,LED,Google TV,4.6,425,56,23990.0,34900.0,31.0
Thomson,32 inch,HD Ready,LED,Android,4.3,121233,21447,9799.0,14499.0,32.0
MarQ,32 inch,HD Ready,LED,Unknown,4.1,6146,504,7499.0,17000.0,55.0
Thomson,50 inch,Ultra HD (4K),LED,Google TV,4.5,40044,9550,24999.0,41999.0,40.0
Infinix,32 inch,HD Ready,LED,Linux,3.7,1094,94,8499.0,16999.0,50.0
Thomson,43 inch,Full HD,LED,Linux,4.4,42232,5726,15499.0,22999.0,32.0
